lattitude,longitude,rssi,rssiPacket,snr,srcID
43.5678, 1.4636, -113, -93, 8, 2
43.5678, 1.4637, -115, -102, 6, 2
43.5678, 1.4638, -112, -101, 5, 2
43.5678, 1.4639, -115, -105, 4, 2
43.5678, 1.4640, -109, -103, 4, 2
43.5677, 1.4640, -108, -103, 4, 2
43.5677, 1.4641, -103, -103, 2, 2
43.5677, 1.4642, -99, -131, -14, 2
43.5678, 1.4642, -98, -122, -5, 2
43.5678, 1.4644, -97, -120, -3, 2
43.5678, 1.4645, -103, -127, -10, 2
43.5678, 1.4646, -99, -129, -12, 2
43.5678, 1.4646, -100, -133, -16, 0
43.5678, 1.4647, -113, -108, 1, 2
43.5678, 1.4648, -114, -108, 3, 2
43.5681, 1.4652, -114, -107, 4, 2
43.5681, 1.4654, -114, -108, 3, 2
43.5682, 1.4655, -114, -109, 2, 2
43.5682, 1.4656, -109, -118, -1, 2
43.5682, 1.4657, -112, -105, 1, 2
43.5682, 1.4658, -112, -105, 3, 2
43.5683, 1.4659, -108, -106, 0, 2
43.5683, 1.4660, -113, -108, 2, 2
43.5683, 1.4661, -112, -106, 3, 2
43.5683, 1.4662, -113, -95, 6, 2
43.5684, 1.4662, -116, -95, 6, 2
43.5684, 1.4663, -116, -102, 6, 2
43.5684, 1.4664, -116, -94, 7, 2
43.5685, 1.4665, -115, -95, 7, 2
43.5685, 1.4665, -115, -97, 7, 2
43.5685, 1.4665, -116, -88, 6, 2
43.5686, 1.4665, -115, -89, 6, 2
43.5686, 1.4666, -115, -93, 6, 2
43.5687, 1.4666, -115, -98, 6, 2
43.5687, 1.4667, -115, -97, 5, 2
43.5688, 1.4667, -116, -90, 7, 2
43.5689, 1.4668, -115, -94, 5, 2
43.5689, 1.4668, -115, -93, 7, 2
43.5690, 1.4669, -116, -94, 6, 2
43.5691, 1.4669, -116, -92, 8, 2
43.5692, 1.4669, -116, -93, 7, 2
43.5692, 1.4669, -115, -95, 6, 2
43.5693, 1.4669, -115, -94, 6, 2
43.5694, 1.4669, -115, -98, 7, 2
43.5694, 1.4669, -116, -87, 6, 2
43.5695, 1.4669, -110, -88, 7, 2
43.5695, 1.4668, -114, -79, 8, 2
43.5696, 1.4667, -115, -87, 7, 2
43.5697, 1.4667, -115, -86, 7, 2
43.5698, 1.4666, -115, -80, 7, 2
43.5698, 1.4666, -115, -79, 8, 2
43.5699, 1.4665, -114, -79, 7, 2
43.5699, 1.4665, -116, -83, 6, 2
43.5702, 1.4663, -114, -81, 7, 2
43.5702, 1.4662, -116, -71, 7, 2
43.5703, 1.4662, -115, -75, 8, 2
43.5704, 1.4662, -116, -76, 7, 2
43.5704, 1.4661, -114, -76, 7, 2
43.5704, 1.4662, -114, -73, 6, 2
43.5705, 1.4663, -116, -73, 6, 2
43.5706, 1.4663, -115, -74, 7, 2
43.5706, 1.4664, -115, -75, 8, 2
43.5706, 1.4664, -115, -75, 7, 2
43.5707, 1.4665, -115, -80, 7, 2
43.5707, 1.4664, -115, -71, 6, 2
43.5707, 1.4664, -114, -89, 7, 2
43.5707, 1.4664, -115, -86, 7, 2
43.5707, 1.4664, -115, -86, 7, 2
43.5706, 1.4664, -115, -85, 7, 2
43.5706, 1.4664, -115, -83, 7, 2
43.5706, 1.4664, -115, -82, 8, 2
43.5706, 1.4663, -114, -90, 8, 2
43.5707, 1.4663, -115, -91, 8, 2
43.5706, 1.4663, -114, -94, 6, 2
43.5706, 1.4663, -114, -93, 5, 2
43.5708, 1.4664, -115, -84, 9, 2
43.5709, 1.4664, -114, -86, 7, 2
43.5710, 1.4665, -114, -89, 8, 2
43.5710, 1.4665, -115, -89, 8, 2
43.5710, 1.4665, -115, -93, 8, 2
43.5710, 1.4665, -115, -88, 7, 2
43.5710, 1.4665, -115, -86, 8, 2
43.5710, 1.4665, -115, -87, 8, 2
43.5710, 1.4665, -115, -87, 8, 2
